agent,label,level,episodes,grade,grade_std,reward,revenue,security,sleepers_caught,pass_rate
base_untrained,Base untrained,easy,20,0.63,0.042,1.87,236.1,100.0,1.0,
base_untrained,Base untrained,medium,20,0.671,0.018,4.21,313.9,100.0,2.0,
base_untrained,Base untrained,hard,20,0.616,0.0,8.57,433.9,100.0,3.0,
base_untrained,Base untrained,level_4,20,0.657,0.051,11.36,574.3,95.0,3.85,
base_untrained,Base untrained,level_5,20,0.631,0.053,12.21,682.6,84.8,4.5,
raw_v5_trained,Raw V5 trained,easy,20,0.728,0.011,3.3,230.7,100.0,1.0,1.0
raw_v5_trained,Raw V5 trained,medium,20,0.731,0.0,6.47,337.3,100.0,2.0,1.0
raw_v5_trained,Raw V5 trained,hard,20,0.671,0.0,10.66,476.7,100.0,3.0,1.0
raw_v5_trained,Raw V5 trained,level_4,20,0.722,0.04,12.32,640.8,85.85,3.5,0.5
raw_v5_trained,Raw V5 trained,level_5,20,0.656,0.044,8.27,734.0,60.47,3.9,0.05
security_first_supervisor,Security-first supervisor,easy,20,0.720045,0.004,5.67,308.2,100.0,1.0,1.0
security_first_supervisor,Security-first supervisor,medium,20,0.735125,0.005,8.57,405.2,100.0,2.0,1.0
security_first_supervisor,Security-first supervisor,hard,20,0.679445,0.006,12.95,550.8,100.0,3.0,1.0
security_first_supervisor,Security-first supervisor,level_4,20,0.900675,0.003,18.43,736.4,100.0,4.0,1.0
security_first_supervisor,Security-first supervisor,level_5,20,0.917065,0.005,71.02,857.3,100.0,5.0,1.0
heuristic,Heuristic,easy,20,0.725,0.006,6.1,324.8,100.0,1.0,
heuristic,Heuristic,medium,20,0.727,0.007,9.99,456.2,100.0,2.0,
heuristic,Heuristic,hard,20,0.68,0.012,14.43,612.9,100.0,3.0,
heuristic,Heuristic,level_4,20,0.689,0.018,13.3,771.0,73.4,3.05,
heuristic,Heuristic,level_5,20,0.626,0.046,8.81,896.9,44.3,3.3,
random,Random,easy,20,0.631,0.08,-14.95,122.0,92.4,0.9,
random,Random,medium,20,0.666,0.074,-24.19,173.8,83.5,1.85,
random,Random,hard,20,0.65,0.089,-32.55,208.7,66.1,2.75,
random,Random,level_4,20,0.636,0.105,-47.7,234.6,59.3,3.7,
random,Random,level_5,20,0.654,0.076,-6.82,343.4,45.0,4.55,
